"","IgA","IgE1","IgE2","IgG","IgM"
"Serpine2",0,0.00915049520563928,0,0.0220391228257321,0.140379009588151
"Cul3",0.258105807449432,0.177519456630185,0.162477086179308,0.151905456989897,0.160700631351784
"Dock10",0.66332032406871,0.773863623681761,0.66707214697026,0.537719816670902,1.01772757765924
"Gm37645",0,0.00759750066323133,0,0,0
"Gm38062",0,0,0.00790233241240832,0,0
"A630081D01Rik",0,0.00375450868307915,0,0,0.0747171964858097
"Rhbdd1",0.198385734525111,0.199493463048354,0.186361973575606,0.103522727244776,0.159808941777238
"C430014B12Rik",0.00720103456950518,0.0043557016268385,0.0116636267992937,0,0
"Mff",1.41271902006417,1.28409771882813,1.4954210477854,1.3722661429422,1.32036720064616
"Agfg1",0.117192076412549,0.0908781586959356,0.118540253021345,0.0597744969532608,0.185966457326011
"Trip12",0.300011249320113,0.425018676686625,0.362592673554721,0.328640340111678,0.458225448970256
"Gm37738",0,0.00247059112327398,0,0,0.0357834988008666
"Fbxo36",0.0637838778354191,0.0842027595779038,0.0629211511386868,0.0992133040229609,0.0805814858699531
